test_i,matchCount,R100
5,2407,0.9735
6,3362,0.9736
7,4607,0.9736
8,5795,0.9736
9,7083,0.9736
10,8408,0.9737
11,9267,0.9737
12,10235,0.9737
13,11022,0.9738
14,12318,0.9737
15,13635,0.9739
16,15363,0.9738
17,17818,0.9739
18,20832,0.9739
19,23811,0.974
20,27118,0.974
21,30695,0.9741
22,33721,0.9742
23,35572,0.9743
24,37600,0.9743
25,37773,0.9743
26,37853,0.9745
27,37055,0.9744
28,35862,0.9745
29,34175,0.9743
30,31881,0.9742
31,30372,0.9743
32,28998,0.9742
33,27024,0.9742
34,25348,0.9742
35,23796,0.9741
36,22357,0.974
37,20795,0.9739
38,19827,0.9739
39,18620,0.9739
40,17467,0.9738
41,16531,0.9739
42,15714,0.9738
43,14695,0.9738
44,13842,0.9737
45,13106,0.9737
46,12106,0.9737
47,11552,0.9736
48,10687,0.9736
49,10261,0.9737
50,9680,0.9736
51,8978,0.9736
52,8421,0.9736
53,8145,0.9736
54,7524,0.9735
55,7082,0.9735
56,6514,0.9735
57,6230,0.9736
58,5869,0.9735
59,5422,0.9735
60,4966,0.9735
61,4854,0.9735
62,4439,0.9735
63,4241,0.9735
64,5970,0.9733
